,GEOID,Pop_Den_16,Median_Household_Income_16,Gini_Index_16,Ave_Commute_Min_16,Unemployed_rate_16,Moved_in_4years_16
0,36005000100,12304.140706420716,0.0,0.0,,,0.0
1,36005000200,29869.031039474987,70893.0,0.4021,43.99720800372266,0.06757912745936698,0.0
2,36005000400,16975.281735883906,76667.0,0.3636,48.38821807537504,0.08970635688931913,0.0
3,36005001600,32334.871893386207,31540.0,0.4343,35.77928607340372,0.0843585237258348,0.004316785654989208
4,36005001900,4226.161844060288,39130.0,0.4626,43.82998171846435,0.16295264623955433,0.01733232856066315
5,36005002000,59785.67526185107,17083.0,0.5349,44.15897651006711,0.1711835334476844,0.004721124286341678
6,36005002300,119535.61898784651,16503.0,0.479,41.53907496012759,0.17362924281984335,0.011700793982448809
7,36005002400,471.52445600884795,0.0,0.0,,0.0,0.0
8,36005002500,114685.29237534794,21060.0,0.506,39.307370622059594,0.10306530430919592,0.005913978494623656
9,36005002701,94515.55869707468,18409.0,0.4756,43.92819979188346,0.1454234388366125,0.006668889629876626
10,36005002702,77091.49903448822,16000.0,0.4964,48.216355441081774,0.06152961472110408,0.005904220424229171
11,36005002800,33190.975687628925,49180.0,0.3431,43.942428035043804,0.11887608069164265,0.0
12,36005003100,28900.641632358616,45101.0,0.4093,42.80266343825666,0.06941431670281996,0.0
13,36005003300,66243.39855750574,20268.0,0.5151,42.86423841059602,0.18589211618257262,0.010161542470036478
14,36005003500,71769.32394518836,26066.0,0.4761,44.14205905826017,0.09216589861751152,0.0072783987522745
15,36005003700,4310.621067485291,0.0,0.4485,34.38775510204081,0.10909090909090909,0.0
16,36005003800,50903.43381654827,30694.0,0.6017,41.751662971175165,0.1912280701754386,0.021103896103896104
17,36005003900,77708.02556437116,28537.0,0.4981,41.164794007490634,0.08258928571428571,0.003275620028076743
18,36005004001,31316.67675923167,49709.0,0.3648,41.59966499162479,0.0821529745042493,0.0
19,36005004100,87037.2133017257,18394.0,0.5233,39.72098922003805,0.18537074148296592,0.0021371034029261876
20,36005004200,42051.5051850824,23250.0,0.4263,46.032088122605366,0.2210081071554459,0.006277792309704421
21,36005004300,69187.23147287515,21551.0,0.5213,39.24554565701559,0.16095890410958905,0.0064221733986817645
22,36005004400,47467.23180239628,20725.0,0.4451,43.670682730923694,0.27216174183514774,0.0018860016764459346
23,36005004600,37851.430949785696,40625.0,0.4745,37.00585651537335,0.1123882503192848,0.014879425346331451
24,36005004800,78595.53135892774,30179.0,0.4458,44.56214689265537,0.18149307107733573,0.010022779043280182
25,36005005001,137081.0587473167,27283.0,0.5107,47.366498032602586,0.1302408563782337,0.009577795152462862
26,36005005002,129316.35104411755,28010.0,0.4769,46.27167630057804,0.1267801319902744,0.013195435092724679
27,36005005100,30044.925739170285,19657.0,0.4424,41.617111650485434,0.14121037463976946,0.003992015968063872
28,36005005200,33597.88117686511,18917.0,0.6316,42.03529411764706,0.0653061224489796,0.0
29,36005005300,149016.91812275842,15141.0,0.4792,51.36513157894737,0.21537162162162163,0.0
30,36005005400,81594.02988984353,29857.0,0.4624,40.33684210526316,0.09777313848295059,0.0
31,36005005600,49712.37284477418,18918.0,0.5118,41.18523316062176,0.17721518987341772,0.013183404420317953
32,36005005902,101160.75892378067,29908.0,0.5211,39.217791411042946,0.11779041429731925,0.0
33,36005006000,10037.670769334547,39783.0,0.4552,39.809322033898304,0.11912751677852348,0.013438735177865613
34,36005006100,41441.859982488626,42713.0,0.3636,36.644366197183096,0.15442452284557548,0.0
35,36005006200,99138.42454198141,24835.0,0.4582,43.17117480823577,0.13585891574134554,0.005463734462505122
36,36005006300,10815.666882904387,31926.0,0.4702,42.81550937658388,0.11178509532062392,0.013672795851013672
37,36005006400,51476.33855266,27917.0,0.4853,50.29277218664227,0.10446570972886762,0.0
38,36005006500,55331.9697210519,22365.0,0.4907,38.55080213903744,0.10926163038839096,0.0014456089627755693
39,36005006700,92624.10603015606,20945.0,0.7023,45.35083643122677,0.16318443804034583,0.0
40,36005006800,55606.78787654784,47863.0,0.419,44.02959394356504,0.13018760659465606,0.0
41,36005006900,119484.70183158944,26513.0,0.5445,37.662176533144276,0.12477928193054738,0.00382431336191911
42,36005007000,61800.91507068974,33412.0,0.448,46.731936017650305,0.133212505663797,0.01519195237117635
43,36005007100,24950.032998478193,37744.0,0.4435,46.4889705882353,0.13833075734157652,0.0076274588518667205
44,36005007200,67771.9029945898,35032.0,0.4551,43.46805421103582,0.09049773755656108,0.005537098560354375
45,36005007300,74764.67375447847,19925.0,0.4618,48.049119555143655,0.17135549872122763,0.006592292089249493
46,36005007400,51215.23399280039,39375.0,0.4497,50.78594249201278,0.0596100278551532,0.00541858574911948
47,36005007500,68688.82178028763,26401.0,0.4674,41.48148148148148,0.1010860484544695,0.03853241749036689
48,36005007600,59806.12079676785,34778.0,0.4329,41.99750623441396,0.11715481171548117,0.004240710823909532
49,36005007700,46829.414491830605,30912.0,0.4609,41.97872340425532,0.08442330558858502,0.012351778656126482
50,36005007800,55065.25152256474,40083.0,0.474,42.43563547200654,0.10691375623663578,0.023932426091037073
51,36005007900,87580.40618648728,25651.0,0.5068,41.95784543325527,0.13711857860177676,0.001841620626151013
52,36005008300,83377.72699919104,22704.0,0.5486,42.61884904086739,0.12512750765045902,0.01287172658677319
53,36005008400,41759.87891220934,66958.0,0.3785,44.586811352253754,0.08390022675736962,0.0036072144288577155
54,36005008500,91333.51190370362,28403.0,0.4661,38.300948938093086,0.15455551457026928,0.013213780084945729
