,EUI,Score
399,129.7,9
400,126.1,13
401,88.9,56
402,92.0,49
403,108.0,34
404,87.2,65
405,63.7,88
406,112.4,28
407,87.0,59
408,123.1,13
409,100.4,38
410,94.2,65
411,97.7,66
412,67.2,91
413,105.5,60
414,73.7,82
415,80.7,47
416,83.5,46
417,87.7,43
418,128.1,10
419,67.8,75
420,94.3,50
421,94.3,43
422,71.7,76
423,81.2,83
424,124.1,26
425,67.6,81
426,80.1,71
427,81.9,53
428,69.0,85
429,59.9,79
430,93.9,50
431,109.2,65
432,61.3,43
433,109.1,69
434,65.3,87
435,136.0,31
436,109.2,69
437,109.7,65
438,77.9,73
439,120.6,14
440,93.5,54
441,114.9,29
442,120.5,25
443,79.6,77
444,78.7,79
445,52.0,75
446,25.8,100
447,49.1,96
448,79.5,72
449,83.4,95
450,66.2,80
451,76.5,72
452,86.8,78
453,66.1,93
454,91.6,52
455,59.4,94
456,83.3,72
457,90.4,65
458,134.2,12
459,88.2,69
460,79.8,69
461,47.7,100
462,79.7,70
463,126.1,19
464,73.8,79
465,116.7,22
466,71.7,78
467,91.3,59
468,72.7,77
469,93.6,76
470,119.0,34
471,78.6,77
472,107.3,30
473,87.3,62
474,69.1,76
475,75.7,83
476,76.9,82
477,91.6,49
478,89.6,37
479,79.7,76
480,78.6,96
481,83.8,28
482,98.4,51
483,82.4,71
484,106.4,7
485,70.9,25
486,85.0,78
487,57.0,97
488,86.3,55
489,101.3,56
490,120.8,24
491,93.5,62
492,91.2,71
493,84.3,72
494,89.0,12
495,95.2,53
496,79.7,14
497,148.1,5
498,79.0,50
499,84.6,15
500,89.0,67
501,97.0,55
502,116.0,15
503,52.0,99
504,60.8,9
505,80.1,92
506,88.9,71
507,131.0,20
508,37.2,66
509,101.7,11
510,113.6,17
511,93.6,31
512,73.9,92
513,79.3,80
514,89.5,18
515,81.6,26
516,89.7,49
517,83.7,59
518,89.6,61
519,123.4,28
520,83.4,25
521,100.9,60
522,82.6,77
523,146.5,15
524,105.6,55
525,146.3,17
526,56.1,91
527,65.7,42
528,86.3,37
529,75.0,26
530,81.6,41
531,129.2,8
532,119.3,40
533,76.8,97
534,118.4,43
535,68.6,94
536,68.5,96
537,120.5,43
538,129.0,55
539,115.5,33
540,87.7,61
541,58.1,98
542,73.9,92
543,71.2,93
544,73.1,89
545,102.1,52
546,104.4,36
547,147.3,10
548,104.4,46
549,130.1,19
550,111.6,25
551,110.9,47
552,101.7,42
553,83.7,65
554,71.6,88
555,69.3,90
556,107.2,70
557,96.6,59
558,126.4,10
559,120.1,2
560,81.2,77
561,81.1,62
562,91.2,45
563,56.9,90
564,64.6,52
565,105.1,13
566,61.3,95
567,114.0,12
568,59.9,61
569,85.4,42
570,99.1,14
571,83.1,74
572,112.9,86
573,58.6,68
574,125.0,11
575,96.7,55
576,84.7,66
577,73.3,79
578,130.5,59
579,88.5,83
580,82.9,67
581,138.7,12
582,147.6,6
583,110.4,32
584,110.9,35
585,111.0,33
586,95.0,36
587,147.6,13
588,121.3,30
589,124.0,30
590,83.5,67
591,76.1,85
592,82.9,70
593,79.2,62
594,70.1,83
595,138.5,23
596,90.8,63
597,120.9,14
598,64.2,88
599,78.2,74
600,112.7,33
601,95.4,48
602,115.3,34
603,84.8,48
604,138.1,8
605,101.4,52
606,121.1,10
607,72.2,81
608,68.2,84
609,65.4,88
610,85.9,36
611,56.9,94
612,74.6,72
613,66.0,84
614,102.8,38
615,60.2,95
616,63.0,87
617,86.3,41
618,87.9,66
619,88.8,20
620,96.6,44
621,90.9,48
622,110.2,41
623,121.5,28
624,86.2,62
625,64.3,85
626,105.1,44
627,85.8,71
628,105.0,32
629,90.4,44
630,81.9,51
631,76.9,58
632,105.1,22
633,81.6,66
634,97.7,26
635,82.1,68
636,109.9,39
637,116.0,4
638,116.8,9
639,100.4,50
640,99.0,37
641,99.4,52
642,88.1,62
643,98.1,43
644,154.0,12
645,66.3,77
646,88.9,61
647,113.6,20
648,90.4,49
649,59.2,96
650,103.9,61
651,118.9,11
652,83.3,17
653,83.6,54
654,96.9,46
655,119.2,34
656,102.7,34
657,138.2,12
658,114.3,21
659,67.2,90
660,81.2,75
661,120.3,41
662,87.2,55
663,93.4,65
664,98.5,37
665,82.4,19
666,91.8,63
667,96.8,62
668,106.4,33
669,76.5,87
670,95.2,61
671,83.3,76
672,115.4,25
673,81.7,81
674,133.2,18
675,112.6,30
676,142.6,14
677,103.3,54
678,131.9,9
679,100.3,58
680,67.4,89
681,63.4,92
682,116.6,28
683,106.3,46
684,102.0,46
685,99.4,51
686,123.3,32
687,104.4,41
688,127.5,31
689,80.9,71
690,45.9,33
691,89.5,66
692,104.6,52
693,71.7,84
694,106.3,33
695,62.0,86
696,98.3,21
697,146.4,6
